Make,Model,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Consumption_in_City,Fuel_Consumption_in_City_Hwy,Fuel_Consumption_comb,CO2_Emissions,CO2_Level
Ford,Explorer AWD,SUV: Standard,2.3,4,AS10,11.7,8.6,10.3,242,normal
Ford,Explorer AWD,SUV: Standard,3.0,6,AS10,13.4,9.8,11.8,277,high
Ford,Explorer Timberline AWD,SUV: Standard,2.3,4,AS10,12.2,10.4,11.4,268,high
Ford,Explorer Hybrid AWD,SUV: Standard,3.3,6,AS10,10.1,9.0,9.6,225,normal
Ford,F-150,Pickup truck: Standard,2.7,6,AS10,12.0,9.3,10.8,253,normal
Ford,F-150 FFV,Pickup truck: Standard,3.3,6,AS10,12.0,9.8,11.0,259,high
Ford,F-150 FFV,Pickup truck: Standard,3.3,6,AS10,16.6,12.6,14.8,242,normal
Ford,F-150,Pickup truck: Standard,3.5,6,AS10,13.1,10.0,11.7,274,high
Ford,F-150 FFV,Pickup truck: Standard,5.0,8,AS10,14.0,10.0,12.2,287,high
Ford,F-150 FFV,Pickup truck: Standard,5.0,8,AS10,20.9,13.6,17.6,291,high
Ford,F-150 FFV (Without Stop-Start),Pickup truck: Standard,5.0,8,AS10,14.5,10.3,12.6,296,high
Ford,F-150 FFV (Without Stop-Start),Pickup truck: Standard,5.0,8,AS10,19.8,13.7,17.1,284,high
Ford,F-150 4X4,Pickup truck: Standard,2.7,6,AS10,12.8,10.0,11.5,271,high
Ford,F-150 4X4 (Without Stop-Start),Pickup truck: Standard,2.7,6,AS10,13.5,10.0,11.9,280,high
Ford,F-150 4X4,Pickup truck: Standard,3.0,6,AS10,11.9,9.1,10.7,287,high
Ford,F-150 FFV 4X4,Pickup truck: Standard,3.3,6,AS10,12.5,10.7,11.7,275,high
Ford,F-150 FFV 4X4,Pickup truck: Standard,3.3,6,AS10,17.2,13.1,15.4,252,normal
Ford,F-150 4X4,Pickup truck: Standard,3.5,6,AS10,13.5,10.2,12.0,282,high
Ford,F-150 FFV 4X4,Pickup truck: Standard,5.0,8,AS10,14.8,10.9,13.1,307,high
Ford,F-150 FFV 4X4,Pickup truck: Standard,5.0,8,AS10,21.5,14.5,18.3,303,high
Ford,F-150 FFV 4X4 (Without Stop-Start),Pickup truck: Standard,5.0,8,AS10,15.4,11.0,13.4,315,high
Ford,F-150 FFV 4X4 (Without Stop-Start),Pickup truck: Standard,5.0,8,AS10,21.0,14.7,18.1,301,high
Ford,F-150 Raptor 4X4,Pickup truck: Standard,3.5,6,AS10,15.8,13.2,14.6,344,high
Ford,F-150 Raptor 4X4 (Without Stop-Start),Pickup truck: Standard,3.5,6,AS10,16.8,13.2,15.2,357,high
Ford,F-150 Raptor 37 4X4,Pickup truck: Standard,3.5,6,AS10,16.0,14.4,15.3,359,high
Ford,F-150 Raptor 37 4X4 (Without Stop-Start),Pickup truck: Standard,3.5,6,AS10,16.6,14.8,15.8,370,high
Ford,F-150 Tremor 4X4,Pickup truck: Standard,3.5,6,AS10,14.3,11.8,13.2,310,high
Ford,F-150 Tremor 4X4 (Without Stop-Start),Pickup truck: Standard,3.5,6,AS10,14.7,11.7,13.3,313,high
Ford,F-150 Hybrid,Pickup truck: Standard,3.5,6,AS10,9.5,9.1,9.3,217,normal
Ford,F-150 Hybrid 4X4,Pickup truck: Standard,3.5,6,AS10,9.8,9.7,9.8,229,normal
Ford,GT,Two-seater,3.5,6,AM7,19.8,12.8,16.6,393,high
Ford,Mustang,Subcompact,2.3,4,A10,11.0,7.5,9.4,221,normal
Ford,Mustang,Subcompact,2.3,4,AS10,11.0,7.5,9.4,222,normal
Ford,Mustang (High Performance),Subcompact,2.3,4,AS10,11.7,8.6,10.3,242,normal
